iban,identifier
000000000000000000000000,8287542792
000000000000000000000001,7502224994
000000000000000000000002,4303933781
000000000000000000000003,5093859742
000000000000000000000004,6632119474
000000000000000000000005,4832954449
000000000000000000000006,4629739549
000000000000000000000007,4119967229
000000000000000000000008,7541856035
000000000000000000000009,5009907496
000000000000000000000010,2360367876
000000000000000000000011,0493204343
000000000000000000000012,5303269507
000000000000000000000013,2769536811
000000000000000000000014,5532465355
000000000000000000000015,1278143864
000000000000000000000016,9067839457
000000000000000000000017,5704833408
000000000000000000000018,1281937449
000000000000000000000019,4958203848
000000000000000000000020,1520924309
000000000000000000000021,2031824998
000000000000000000000022,8982599939
000000000000000000000023,5426078776
000000000000000000000024,5722716069
000000000000000000000025,0442118048
000000000000000000000026,3473871493
000000000000000000000027,2432417976
000000000000000000000028,1855738128
000000000000000000000029,0843097069
000000000000000000000030,7426839796
000000000000000000000031,3858139823
000000000000000000000032,8903631123
000000000000000000000033,2756194038
000000000000000000000034,1993166845
000000000000000000000035,7836601875
000000000000000000000036,0419850042
000000000000000000000037,1009661418
000000000000000000000038,9392511780
000000000000000000000039,7791121738
000000000000000000000040,0247932073
000000000000000000000041,9450219993
000000000000000000000042,3355685173
000000000000000000000043,4574768215
000000000000000000000044,0718314427
000000000000000000000045,3672974026
000000000000000000000046,6238004271
000000000000000000000047,2508744668
000000000000000000000048,7635387202
000000000000000000000049,0313998872
000000000000000000000050,3886461089
000000000000000000000051,0968125326
000000000000000000000052,7937222624
000000000000000000000053,3005790733
000000000000000000000054,7370021152
000000000000000000000055,1772427082
000000000000000000000056,8621712904
000000000000000000000057,2679981354
000000000000000000000058,9083156063
000000000000000000000059,3533217804
000000000000000000000060,7294136703
000000000000000000000061,5215927354
000000000000000000000062,5223094832
000000000000000000000063,0390183763
000000000000000000000064,7165693660
000000000000000000000065,5286749588
000000000000000000000066,4406159527
000000000000000000000067,8070473827
000000000000000000000068,6356950592
000000000000000000000069,6266334859
000000000000000000000070,5142313862
000000000000000000000071,3741125292
000000000000000000000072,1393808744
000000000000000000000073,6354067482
000000000000000000000074,1114991040
000000000000000000000075,8988777094
000000000000000000000076,0174023649
000000000000000000000077,5246641872
000000000000000000000078,8326721641
000000000000000000000079,5694445279
000000000000000000000080,5576581421
000000000000000000000081,2574388204
000000000000000000000082,4016608202
000000000000000000000083,9060402797
000000000000000000000084,6469857844
000000000000000000000085,0122367898
000000000000000000000086,1367203472
000000000000000000000087,4005966368
000000000000000000000088,9030078804
000000000000000000000089,0577458124
000000000000000000000090,2308361491
000000000000000000000091,1246600903
000000000000000000000092,2617143619
000000000000000000000093,6282198392
000000000000000000000094,6088649604
000000000000000000000095,2250381150
000000000000000000000096,5059140002
000000000000000000000097,1367143901
000000000000000000000098,2671491072
000000000000000000000099,7361299665
000000000000000000000100,7163882549
000000000000000000000101,3583356064
000000000000000000000102,4037335485
000000000000000000000103,5764990793
000000000000000000000104,1412302414
000000000000000000000105,8627360508
000000000000000000000106,4240269677
000000000000000000000107,6623109939
000000000000000000000108,7742497945
000000000000000000000109,8523008981
000000000000000000000110,3511761978
000000000000000000000111,7755883406
000000000000000000000112,4631669077
000000000000000000000113,4031975292
000000000000000000000114,9922505579
000000000000000000000115,1207082004
000000000000000000000116,7519926386
000000000000000000000117,6173667500
000000000000000000000118,9886229706
000000000000000000000119,6977494262
000000000000000000000120,5735208883
000000000000000000000121,1084163212
000000000000000000000122,4000868387
000000000000000000000123,8778581749
000000000000000000000124,4459876841
000000000000000000000125,5384163397
000000000000000000000126,9691992432
000000000000000000000127,6089221367
000000000000000000000128,8647219998
000000000000000000000129,0888530787
000000000000000000000130,2913955122
000000000000000000000131,2651738911
000000000000000000000132,1729125543
000000000000000000000133,7557948604
000000000000000000000134,0195640778
000000000000000000000135,7427437369
000000000000000000000136,2031480152
000000000000000000000137,8409768159
000000000000000000000138,1849116719
000000000000000000000139,6027426327
000000000000000000000140,1527262724
000000000000000000000141,4107974403
000000000000000000000142,6209981718
000000000000000000000143,7497216431
000000000000000000000144,3016183704
000000000000000000000145,9231123849
000000000000000000000146,3392443834
000000000000000000000147,5510472002
000000000000000000000148,6341381371
000000000000000000000149,9835736447
000000000000000000000150,1651356629
000000000000000000000151,0844465073
000000000000000000000152,4872397780
000000000000000000000153,9850325479
000000000000000000000154,2559160455
000000000000000000000155,5132963444
000000000000000000000156,5863911556
000000000000000000000157,6062429109
000000000000000000000158,8268358931
000000000000000000000159,5372035862
000000000000000000000160,5714961834
000000000000000000000161,9167201382
000000000000000000000162,2093779776
000000000000000000000163,2696908846
